ANNEE;COLL_NOM;COLL_SIRET;COLL_TYPE;ACTE_DATE;ACTE_REF;ATTRIB_NOM;ATTRIB_SIRET;SUB_OBJ;SUB_MONTANT;Notification à la commission Européenne
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0043;CENTRE D'INFORMATION SUR LES DROITS DES FEMMES ET DES FAMILLES DE LA VIENNE - CIDFF;37986748400000.0;"ACCES AUX DROITS 
Connaitre ses droits pour les faire valoir
Informer et orienter : les juristes du CIDFF répondent aux demandes d'information des femmes et des familles, et les dirigent, le cas échéant, vers un service interne ou un relais extérieur.
Apporter une réponse personnalisée : accessible et concrète dans le cadre d'une information globale en matière de droit de la famille, droit pénal, droit de la consommation, droit des étrangers
Animer des séances d'information collectives sur les droits.

EMPLOI 
Dans le cadre du BAIE, le CIDFF accompagne en individuel  des femmes en recherche d'emploi en travaillant sur les freins repérés lors d'un entretien diagnostic, notamment sur l'articulation des temps de vie et l'élargissement des choix professionnels 
Le CIDFF reçoit des hommes et des femmes dans le cadre de conventions régionales et départementales, met en oeuvre des actions de redynamisation pour les femmes bénéficiaires du RSA
Le CIDFF propose des entretiens conseils à la validation des Acquis de l'Expérience

VIE FAMILIALE ET PARENTALITE
Le CIDFF assure un soutien et un accompagnement à la parentalité via des entretiens individuels dispensés par la psychologue clinicienne et les chargées d'informations juridiques et anime des ateliers collectifs organisés sous forme de rencontres thématiques

SANTE
Le CIDFF propose une écoute psychologique dans le cadre de son Point d'Ecoute Psychologique.

EDUCATION ET CITOYENNETE
Le CIDFF propose des actions collectives sur les relations entre les filles et garçons  et oeuvre en matière de prévention des comportements sexistes et violent.
Le CIDFF anime des actions de  sensibilisation à l'élargissement des choix professionnels auprès des personnels de la communauté éducative et des élèves des collèges et lycées.


ACTION DE SENSIBILISATION TOUT PUBLIC
Action de promotion de l'égalité entre les femmes et les hommes dans le cadre de la journée internationale  du 8 mars
Promouvoir la journée du 25 novembre de lutte pour l'élimination des violences à l'égard des femmes";8722.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0043;CLUB DES ANCIENS DES TROIS CITES;49416684600000.0;Fonctionnement de l'association;400.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0043;MOUVEMENT FRANCAIS POUR LE PLANNING FAMILIAL ASSOCIATION DEPARTEMENTALE DE LA VIENNE - MFPF 86;41877531800000.0;"Participation au fonctionnement de l'association :
- activités d'écoute et d'accueil lors des permanences hebdomadaires le lundi,
- animations de groupes, notamment de jeunes dans les établissements scolaires sur les questions de sexualité, de réduction des risques, mais aussi en direction des structures relais,
- organisation de manifestation notamment à l'occasion du 8 mars. depuis  2012, des actions spécifiques ont été menées en partenariat avec les membres du Collectif Poitevin pour le 8 mars,
- participation à l'activité internationale de la Confédération avec l'implication active de militantes dans la réalisation de programme d'information/formation à l'étranger  dans le domaine de la santé sexuelle et reproductive.";500.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0048;POITIERS MOUNDOU;49481873500000.0;Appui au fonctionnement général de l'association qui anime le jumelage entre Poitiers et la ville de Moundou.;1900.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0049;ARS NOVA ENSEMBLE INSTRUMENTAL;33519950100000.0;Aide au fonctionnement de l'association pour ses activités de création et diffusion de musique contemporaine. Ensemble en résidence au TAP. Aide au fonctionnement de la Maison du Coin, espace mutualisé accueillant Ars Nova et les bureaux d'autres structures culturelles et compagnies.;41000.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0049;ATELIERS MUSICAUX SYRINX;32565605600000.0;Soutien à l'école de musique associative pour l'enseignement encadré par des professionnels, le développement des pratiques des amateurs et l'apprentissage de la scène.;59000.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0049;CHOEUR DE CHAMBRE DE LA VIENNE;40816581900000.0;Soutien à la pratique du chant choral et à la diffusion de la musique vocale.;800.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0049;LE CHOEUR D'ENFANTS DE POITIERS;38064632300000.0;Soutien à la pratique du chant choral et à la diffusion de la musique vocale.;400.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0049;LES AMIS DES ORGUES DE NOTRE-DAME ET DE MONTIERNEUF - POITIERS;40886076500000.0;Aide à l'organisation des concerts gratuits dans l'église Notre Dame.;1500.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0049;THEATRE DES AGITES;40975569100000.0;Soutien à la compagnie professionnelle dans ses activités de création, de diffusion et d'accompagnement à la structuration et l'insertion des jeunes artistes.;7000.0;NON
